contract,bug_type,func,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10,iter_11,iter_12,iter_13,iter_14,iter_15,iter_16,iter_17,iter_18,iter_19,iter_20,iter_21,iter_22,iter_23,iter_24,iter_25,iter_26,iter_27,iter_28,iter_29,iter_30,iter_31,iter_32,iter_33,iter_34,iter_35,iter_36,iter_37,iter_38,iter_39,iter_40
0xa78a974b487357ad5c17a072dfee4d31b839b331_2,EtherLeak,smallCheckOut,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0xb5c0e43a6330b9eb904ec57ea24d70269ae4652e,EtherLeak,destroycontract,94,93,93,94,69,94,69,94,94,94,94,94,69,94,94,95,93,93,95,94,94,94,94,94,94,93,93,94,93,93,94,93,93,94,94,67,94,93,93,94
0xb60e133dacf00b6f560909dc0a5311ae7f9a659b,EtherLeak,kill,250,252,251,250,249,249,251,251,252,250,249,251,252,251,249,251,182,250,250,250,250,249,250,251,250,250,252,249,250,254,249,182,253,250,248,248,252,251,252,249
0xd152f549545093347a162dce210e7293f1452150,EtherLeak,disperseEther,152,153,153,154,153,152,153,112,153,153,154,154,153,114,153,154,152,153,154,114,153,153,152,153,153,153,153,154,154,152,152,153,153,153,153,113,153,153,153,153
0xdcd03c274982b15341b570f39e0f72e730d11f32_1,EtherLeak,@fallback,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0xdcd03c274982b15341b570f39e0f72e730d11f32_3,EtherLeak,@fallback,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0xdcd03c274982b15341b570f39e0f72e730d11f32_3,EtherLeak,finalizeIco,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0xdd97853ba34af302f3d6a6415a750ae38e26d1fc,EtherLeak,winnerReward,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0xdd97853ba34af302f3d6a6415a750ae38e26d1fc,EtherLeak,loser,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0xdd97853ba34af302f3d6a6415a750ae38e26d1fc,EtherLeak,draw,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0xead71f4d060ddc7656c959b482fbdfaca95c5d9d,SuicidalContract,selfdestructs,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0xf7a3c5e0310ed2bafde8e782f43ab38c1cfa279d_1,EtherLeak,manualWithdrawEther,165,164,119,165,164,167,165,163,164,164,164,119,166,165,163,164,164,165,165,165,163,165,164,165,119,165,164,N/A,162,164,164,163,164,164,164,164,165,165,164,119
0xf7a3c5e0310ed2bafde8e782f43ab38c1cfa279d_3,EtherLeak,manualWithdrawEther,181,241,243,177,241,241,242,241,N/A,241,241,242,241,244,239,N/A,242,244,N/A,244,245,242,242,241,240,240,243,242,242,242,241,242,240,242,243,241,244,244,175,239
0xfbfa60a21b423cb364de616a37464b61c1bc4c88_1,EtherLeak,kill,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0xfbfa60a21b423cb364de616a37464b61c1bc4c88_1,EtherLeak,withdrawFunds,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0xfbfa60a21b423cb364de616a37464b61c1bc4c88_2,EtherLeak,kill,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
