contract,bug_type,func,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10,iter_11,iter_12,iter_13,iter_14,iter_15,iter_16,iter_17,iter_18,iter_19,iter_20,iter_21,iter_22,iter_23,iter_24,iter_25,iter_26,iter_27,iter_28,iter_29,iter_30,iter_31,iter_32,iter_33,iter_34,iter_35,iter_36,iter_37,iter_38,iter_39,iter_40
0x5f7bb27f7a4702ebce052745cddc1f567ec89e15_3,EtherLeak,stop,22,24,25,17,17,35,35,23,19,19,37,62,23,15,28,28,22,27,25,27,23,67,21,21,22,20,29,22,20,116,21,23,20,20,22,24,18,35,24,28
0x5f7bb27f7a4702ebce052745cddc1f567ec89e15_3,EtherLeak,kill,22,24,25,17,17,35,35,23,19,19,37,62,23,15,28,28,22,27,25,27,23,67,21,21,22,20,29,22,20,116,21,23,20,20,22,24,18,35,24,28
0x5f7bb27f7a4702ebce052745cddc1f567ec89e15_3,EtherLeak,withdrawFunds,22,24,25,17,17,35,35,23,19,19,37,62,23,15,28,28,22,27,25,27,23,67,21,21,22,20,29,22,20,116,21,23,20,20,22,24,18,35,24,28
0x612f1bdbe93523b7f5036efa87493b76341726e3,EtherLeak,withdraw,38,13,16,21,13,152,14,24,26,80,15,12,30,18,28,25,15,14,23,12,20,16,17,184,84,34,151,131,36,22,60,24,13,21,12,34,20,21,14,12
0x724e3a236d3e9c8ad2c3d1aff181118e6e9b3026,EtherLeak,withdraw,11,75,57,16,12,17,27,13,60,259,10,15,122,14,57,15,26,39,14,16,227,22,22,75,32,129,61,14,16,62,15,16,12,237,13,19,15,12,16,13
0x7bd9084fdd5d021c226918d86c0721cb088b9b4a,EtherLeak,multiSendEth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0x860a8c64cbc7f9aac11428ef8df989f5770cda60_1,EtherLeak,transferEtherToOwner,1499,1032,2683,N/A,190,774,640,6968,1675,433,369,21,1179,1418,1653,935,1378,70,1053,932,3447,410,1633,192,232,1609,46,181,2956,41,39,425,76,4593,1031,606,83,37,401,1022
0x860a8c64cbc7f9aac11428ef8df989f5770cda60_3,SuicidalContract,destoryContract,94,48,42,115,32,31,32,37,41,46,48,32,33,45,69,47,52,41,87,30,47,123,36,48,115,31,43,32,38,43,26,98,33,38,97,48,21,49,47,38
0x860a8c64cbc7f9aac11428ef8df989f5770cda60_3,EtherLeak,destoryContract,386,138,110,58,211,242,114,574,42,654,169,122,91,49,32,148,161,103,87,207,520,142,89,146,205,96,143,158,34,176,474,459,36,80,46,116,519,117,222,89
0x860a8c64cbc7f9aac11428ef8df989f5770cda60_3,EtherLeak,transferEtherToOwner,386,138,110,58,211,242,114,574,42,654,169,122,91,49,32,148,161,103,87,207,520,142,89,146,205,96,143,158,34,176,474,459,36,80,46,116,519,117,222,89
0x8e9f6181371013194d48bc031adf7fe179fb37e3,EtherLeak,withdraw,18,65,27,19,28,21,25,48,18,406,29,35,49,51,18,63,63,27,19,28,27,38,57,54,62,28,20,55,44,23,18,20,19,66,72,21,37,21,18,33
0x95195adFb67f28AcFC07CE09eb496188527C0303_2,SuicidalContract,kill,115,13,116,12,12,12,13,13,12,13,13,13,12,13,13,12,13,13,11,12,94,13,12,628,98,13,13,13,12,9,111,11,106,9,13,12,120,13,13,446
0x95195adFb67f28AcFC07CE09eb496188527C0303_3,SuicidalContract,kill,N/A,N/A,N/A,5993,N/A,N/A,N/A,N/A,2060,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,98,N/A,N/A,N/A,2479,6552,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0x95195adFb67f28AcFC07CE09eb496188527C0303_3,EtherLeak,kill,N/A,N/A,N/A,5993,N/A,N/A,N/A,N/A,2060,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,98,N/A,N/A,N/A,2479,6552,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0x9ac4883b0226fb37fa362dbd76564c539c4f0ee6_1,EtherLeak,withdrawFunds,3,3,3,3,3,4,3,4,4,9,21,16,21,4,4,4,3,3,4,3,3,4,22,3,4,3,15,4,3,16,3,3,4,4,3,4,4,4,9,3
0x9ac4883b0226fb37fa362dbd76564c539c4f0ee6_1,EtherLeak,finish,3,3,3,3,3,4,3,4,4,9,21,16,21,4,4,4,3,3,4,3,3,4,22,3,4,3,15,4,3,16,3,3,4,4,3,4,4,4,9,3
0x9ac4883b0226fb37fa362dbd76564c539c4f0ee6_3,EtherLeak,withdrawFunds,31,58,139,21,66,131,235,49,401,25,63,67,69,21,64,32,65,88,24,26,25,61,27,20,44,40,44,5,32,70,22,39,72,35,226,53,20,28,28,21
0x9ac4883b0226fb37fa362dbd76564c539c4f0ee6_3,EtherLeak,withdraw,31,58,139,21,66,131,235,49,401,25,63,67,69,21,64,32,65,88,24,26,25,61,27,20,44,40,44,5,32,70,22,39,72,35,226,53,20,28,28,21
0xa78a974b487357ad5c17a072dfee4d31b839b331_1,EtherLeak,bigCheckOut,719,1514,377,N/A,258,5086,1725,2288,N/A,1585,174,6504,5902,102,4263,412,977,2792,2854,4987,2249,909,929,2071,1639,755,6066,313,N/A,222,38,N/A,1671,5060,N/A,2437,229,974,1705,6202
0xa78a974b487357ad5c17a072dfee4d31b839b331_1,EtherLeak,sendAll,719,1514,377,N/A,258,5086,1725,2288,N/A,1585,174,6504,5902,102,4263,412,977,2792,2854,4987,2249,909,929,2071,1639,755,6066,313,N/A,222,38,N/A,1671,5060,N/A,2437,229,974,1705,6202
0xa78a974b487357ad5c17a072dfee4d31b839b331_1,EtherLeak,smallCheckOut,719,1514,377,N/A,258,5086,1725,2288,N/A,1585,174,6504,5902,102,4263,412,977,2792,2854,4987,2249,909,929,2071,1639,755,6066,313,N/A,222,38,N/A,1671,5060,N/A,2437,229,974,1705,6202
0xa78a974b487357ad5c17a072dfee4d31b839b331_2,SuicidalContract,kill,3,3,3,8,2,4,4,3,3,2,3,3,3,3,3,3,3,7,3,3,3,3,5,2,N/A,3,3,2,2,3,3,3,3,3,4,3,3,3,7,2
0xa78a974b487357ad5c17a072dfee4d31b839b331_2,EtherLeak,bigCheckOut,1752,2848,503,1642,1675,4854,N/A,110,198,519,881,3357,N/A,3130,1079,688,149,2817,2303,1590,884,3089,1149,658,N/A,2274,1597,192,189,1529,925,127,2259,771,1726,1645,966,1575,2725,3154
0xa78a974b487357ad5c17a072dfee4d31b839b331_2,EtherLeak,sendAll,1752,2848,503,1642,1675,4854,N/A,110,198,519,881,3357,N/A,3130,1079,688,149,2817,2303,1590,884,3089,1149,658,N/A,2274,1597,192,189,1529,925,127,2259,771,1726,1645,966,1575,2725,3154
0xa78a974b487357ad5c17a072dfee4d31b839b331_2,EtherLeak,smallCheckOut,1752,2848,503,1642,1675,4854,N/A,110,198,519,881,3357,N/A,3130,1079,688,149,2817,2303,1590,884,3089,1149,658,N/A,2274,1597,192,189,1529,925,127,2259,771,1726,1645,966,1575,2725,3154
0xb5c0e43a6330b9eb904ec57ea24d70269ae4652e,EtherLeak,destroycontract,4,3,3,12,2,9,10,14,6,1,2,5,2,2,3,6,2,17,4,9,5,14,14,2,9,5,2,4,5,8,9,8,2,9,4,6,5,6,2,10
0xb60e133dacf00b6f560909dc0a5311ae7f9a659b,EtherLeak,kill,8,2,4,5,6,8,7,5,4,5,3,4,6,2,11,5,4,1,2,5,2,8,5,1,7,2,3,3,8,8,3,2,2,5,4,4,5,4,8,11
0xd152f549545093347a162dce210e7293f1452150,EtherLeak,disperseEther,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0xdcd03c274982b15341b570f39e0f72e730d11f32_1,EtherLeak,@fallback,238,207,1563,140,2804,5550,1223,96,2545,211,2076,N/A,3427,2486,156,93,2773,N/A,111,76,32,1806,N/A,60,259,N/A,1380,332,283,4556,N/A,1572,N/A,3656,1614,100,1663,300,71,282
